SL.NO,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
469,A - IPC Crime,OFFENCES RELATED TO MARRIAGE (Sec.493 to 498 IPC),NA,13,3,5,2
470,A - IPC Crime,"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC)",NA,0,0,0,0
471,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Documents  ,1,0,0,1
472,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Property  ,0,0,0,0
473,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Sub Total,1,0,0,1
474,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),DEFAMATION (Sec.500 to 502 IPC),,,,
475,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Persons ,1,0,0,0
476,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Printed Matter,0,0,0,0
477,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Others,0,0,0,0
478,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Assembly,146,0,0,146
479,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Parliament,0,0,0,0
480,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Other Elected Bodies,10,0,0,10
481,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Sub Total,156,0,0,156
482,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),"SLAVERY (Sec.370, 371, 374 IPC)",,,,
483,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Man,0,0,0,0
484,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Woman,0,1,0,0
485,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Boy,0,0,0,0
486,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Girl,0,0,0,0
487,A - IPC Crime,Attempting to commit offences (Sec.511 IPC),Attempting to commit offences,39,24,16,12
488,A - IPC Crime,Attempting to commit offences (Sec.511 IPC),ILLEGAL DETENTION (Sec.342 IPC),0,0,0,0
489,A - IPC Crime,Attempting to commit offences (Sec.511 IPC),FALSE EVIDENCE (Sec.191 to 205 IPC),11,2,5,3
490,A - IPC Crime,Attempting to commit offences (Sec.511 IPC),EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),,,,
491,A - IPC Crime,Attempting to commit offences (Sec.511 IPC),Boy ,7,2,3,4
492,A - IPC Crime,Attempting to commit offences (Sec.511 IPC),Girl,15,3,3,4
493,A - IPC Crime,OF ABETMENT (Sec.107 to 120 IPC),NA,1,1,0,0
494,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",174 A,24,1,3,14
495,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",229 A,74,27,12,33
496,A - IPC Crime,Concealment of birth by secret disposal of Child,Girl,8,3,1,3
497,A - IPC Crime,Concealment of birth by secret disposal of Child,Boy,10,1,4,1
498,A - IPC Crime,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,NA,5,0,1,0
499,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Others,2,5,1,0
500,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Private Institution,1,0,0,1
501,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Govt. Institution,3,5,0,0
502,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,Sub Total,6,10,1,1
503,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,Human Trafficking,,,,
504,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,Eunuch,0,0,0,0
505,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,Men,0,0,0,0
506,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,Boy,0,1,0,0
507,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,Women,3,2,0,0
508,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,Girl,0,0,0,0
509,A - IPC Crime,Aadhaar Act,Impersonation,0,0,0,0
510,A - IPC Crime,Aadhaar Act,Offence by Company,0,0,0,0
511,A - IPC Crime,Aadhaar Act,Offence by individual,0,0,0,0
512,A - IPC Crime,Giving false information respecting an offence com,Giving false information respecting an offence committed,3,1,1,1
513,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Antiques & Art Treasures Act 1972,1,0,0,0
514,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Ancient Monument & Archaelogical Sites And Remains Act 1958,2,1,1,0
515,B - SPECIAL & LOCAL LAWS,ARMS ACT 1959,Country Made - Non Prohibited Bore - In Disturbed Area,3,1,0,3
516,B - SPECIAL & LOCAL LAWS,ARMS ACT 1960,Country Made - Non Prohibited Bore - In Other Area,27,11,10,10
517,B - SPECIAL & LOCAL LAWS,ARMS ACT 1961,Country Made - Prohibited Bore - In Disturbed Area,3,2,1,1
518,B - SPECIAL & LOCAL LAWS,ARMS ACT 1962,Country Made - Prohibited Bore - In Other Area,10,4,1,5
519,B - SPECIAL & LOCAL LAWS,ARMS ACT 1963,Factory Made - Non Prohibited Bore - In Disturbed Area,2,0,0,2
520,B - SPECIAL & LOCAL LAWS,ARMS ACT 1964,Factory Made - Non Prohibited Bore - In Other Area,9,2,4,2
521,B - SPECIAL & LOCAL LAWS,ARMS ACT 1965,Factory Made - Prohibited Bore - In Disturbed Area,0,0,0,0
522,B - SPECIAL & LOCAL LAWS,ARMS ACT 1966,Factory Made - Prohibited Bore - In Other Area,13,0,5,8
523,B - SPECIAL & LOCAL LAWS,ANIMAL,The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,58,19,12,31
524,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Preservation Act 1972,0,0,0,0
525,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Protection Act 1972,1,0,0,0
526,B - SPECIAL & LOCAL LAWS,ANIMAL,Prevention of Cruelty to Animals Act 1960,36,15,8,12
527,B - SPECIAL & LOCAL LAWS,ANIMAL,Elephant (Preservation) Act 1879,0,0,0,0
528,B - SPECIAL & LOCAL LAWS,ANIMAL,Cattle Tresspass Act 1871,0,0,0,0
529,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1952,Films,0,0,0,0
530,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1953,Video,0,0,0,0
531,B - SPECIAL & LOCAL LAWS,CONSUMER,Liquified Petroleum Gas Supply & Control Order 2000 ,11,3,2,5
532,B - SPECIAL & LOCAL LAWS,CONSUMER,Consumer (Protection) Act 1986,3,1,1,2
533,B - SPECIAL & LOCAL LAWS,CONSUMER,Essential Commodities Act 1955,112,71,29,44
534,B - SPECIAL & LOCAL LAWS,CONSUMER,Prevention of Food Adulternation Act 1954,2,3,1,1
535,B - SPECIAL & LOCAL LAWS,CONSUMER,Packaged Commodities (Regulation) order 1975,0,0,0,0
536,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1957,By Company,39,12,17,11
537,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1958,By Individual,21,8,5,6
538,B - SPECIAL & LOCAL LAWS,CIVIL RIGHTS,Protection of Civil Rights Act 1955,2,0,0,2
539,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste  ,269,122,89,93
540,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes,58,33,17,18
541,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste Women,102,54,30,33
542,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,30,11,11,13
543,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act1986,5,8,4,0
544,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Marriage (Restraint) Act - 1929,37,17,14,11
545,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Juvenile Justice Act 1986,5,5,2,2
546,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Probation of offenders Act 1958,1,0,0,0
547,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Protection of Children from Sexual Offences Act 2012 (POCSO),0,0,0,0
548,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Elected,0,0,0,0
549,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1989,Public Servant - Gazetted - Central,0,0,0,0
550,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1990,Public Servant - Gazetted - Defence,0,0,0,0
551,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1991,Public Servant - Gazetted - Public Sector Undertaking,0,0,0,0
552,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1992,Public Servant - Gazetted - State,0,0,0,0
553,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1993,Public Servant - Non-Gazetted - Central,0,0,0,0
554,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1994,Public Servant - Non-Gazetted - Defence,0,0,0,0
555,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1995,Public Servant - Non-Gazetted - State,0,0,0,0
556,B - SPECIAL & LOCAL LAWS,CUSTOMS,Customs Act 1962,0,0,0,0
557,B - SPECIAL & LOCAL LAWS,CUSTOMS,Import/Export (Control) Act 1947,0,0,0,0
558,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Substances Act 1908,6,0,0,4
559,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Act 1884,2,1,2,0
560,B - SPECIAL & LOCAL LAWS,Explosives,Inflammable Substance Act 1952,0,0,0,0
561,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Smugglers and Foreign Exchange Manipulator Act 1976,0,0,0,0
562,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1973,0,0,0,0
563,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1952,0,0,0,0
564,B - SPECIAL & LOCAL LAWS,FOREIGNER,Foreigners Act 1946,4,3,2,0
565,B - SPECIAL & LOCAL LAWS,FOREIGNER,Registration of Foreigners Act 1939,0,0,0,0
566,B - SPECIAL & LOCAL LAWS,FOREST,Indian Forest Act 1927,0,0,0,0
567,B - SPECIAL & LOCAL LAWS,FOREST,Forest (Conservation) Act 1980,7,0,2,4
568,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - In India,0,0,0,0
569,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - Outside India,0,0,0,0
570,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - In India,0,0,0,0
571,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - Outside India,0,0,0,0
572,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Organised,32,20,15,7
573,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Un-Organised,18,8,5,5
574,B - SPECIAL & LOCAL LAWS,BONDED LABOUR SYSTEM,NA,27,0,1,0
575,B - SPECIAL & LOCAL LAWS,INDIAN MOTOR VEHICLE,NA,2,2,0,1
576,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Cultivated/Processed,804,286,178,419
577,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Synthetic,659,169,166,338
578,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Foreigner,0,1,0,0
579,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Indian,1,2,0,0
580,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Assembly,8,0,0,8
581,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,Parliament,0,0,0,0
582,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,Other Elected Bodies,1,0,0,1
583,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),1378,592,522,436
584,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1964,Street Gambling (87),1555,498,368,880
585,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1965,House Gambling (79 & 80),49,16,4,34
586,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1966,Betting ,56,33,12,12
587,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1967,Others ,410,37,19,354
588,B - SPECIAL & LOCAL LAWS,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,NA,31,23,9,12
589,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",NA,4,0,1,3
590,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Official Secrets Act 1923,0,0,0,0
591,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Essential Services Maintenance Act 1981,0,0,0,0
592,B - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),NA,0,0,0,0
593,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Indian Railways Act 1989,2,1,0,1
594,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
595,B - SPECIAL & LOCAL LAWS,UNLAWFUL ACTIVITIES (Prevention) Act 1967,NA,0,0,0,0
596,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Dowry Prohibition,471,196,144,163
597,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,0,0,0,0
598,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,0,0,0,0
599,B - SPECIAL & LOCAL LAWS,INDIAN LUNACY ACT,NA,0,0,0,0
600,B - SPECIAL & LOCAL LAWS,INDIAN ELECTRICITY ACT,NA,9,0,2,2
601,B - SPECIAL & LOCAL LAWS,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",NA,87,14,15,32
602,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Epidemic Deseases Act 2020,1,1,0,0
603,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Banning of Unregulated Deposit Schemes Act,0,0,0,0
604,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",0,0,0,0
605,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Cow Slaughters Act,75,32,15,25
606,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Motor Spirit and High Speed Diesel (Regulation of upply, Distribution and Prevention of Malpractice",0,1,0,0
607,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,58,15,14,26
608,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Disaster Management Act 2005,0,1,0,0
609,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act 1965,3221,835,592,2230
610,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act 1963,16,4,5,6
611,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Education Act 1983 As Amended Upto Date,4,1,2,1
612,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Restriction Unuse Act 1956,0,0,0,0
613,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka University Act,0,0,0,0
614,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Corruption Act,0,0,0,0
615,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Medical Registration Act 1965,0,0,0,0
616,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land & Revenue Acdt 1964 & 2007,6,3,3,2
617,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Dealers License Order 1969,0,0,0,0
618,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Society Registration Act,0,1,0,0
619,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Minor Mineral Consistent Rule 1994,13,7,4,5
620,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Bangalore Development Authority Act,0,0,0,0
621,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Beggery Act 1975,14,0,12,2
622,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act 1964,1,0,0,0
623,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Irrigation Act 1963,2,3,0,2
624,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Fire Force act 1964,0,0,0,0
625,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Consumer Protection Act 1986,0,1,0,0
626,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Lottery Act,21,2,10,10
627,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0,0,0,0
628,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,0,0,0,0
629,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,0,0,0,0
630,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,6,0,2,0
631,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Betting Tax Act,0,0,0,0
632,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Panchayat Raj Act,0,0,0,0
633,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Open Place Disfigurement Act 1951,161,7,53,108
634,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Right To Information Act 2000 & 2008,0,0,0,0
635,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Urban Development Act 1987,0,0,0,0
636,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Town & City Planning Act 1961,0,0,0,0
637,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Race Betting Act,0,0,0,0
638,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,1,0,0,1
639,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Cooperative Society Act,0,0,0,0
640,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainment Tax Act 1958,0,0,0,0
641,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land Acquisition (Prohibition) Act 2007,1,0,1,0
642,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Money Lender Act 1961,1,2,0,1
643,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Stamp Act 1957,0,0,0,0
644,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prisoners Act 1963 & 1974,18,3,5,5
645,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Private Medical Institution Act 2007,1,0,0,1
646,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,MMRD (Mines & Minerals Regulation Development ) Act 1957,24,18,6,10
647,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Treasure Trove Act 1962,2,0,1,0
648,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,2,1,2,0
649,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0,0,0,0
650,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Other Local Acts,35,14,13,15
651,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Information Technology Act 2000, 2009",4310,1047,1370,1615
652,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,NA,0,0,0,0
653,B - SPECIAL & LOCAL LAWS,POCSO,Custodial Rape,0,1,0,0
654,B - SPECIAL & LOCAL LAWS,POCSO,Gang Rape,2,1,0,1
655,B - SPECIAL & LOCAL LAWS,POCSO,Rape with Murder,1,0,0,1
656,B - SPECIAL & LOCAL LAWS,POCSO,Rape,484,198,143,168
657,B - SPECIAL & LOCAL LAWS,POCSO,Others ,200,77,67,65
658,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.1  Custodial Rape,0,0,0,0
659,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.2  Gang Rape,2,1,1,1
660,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.3  other Cases of Rape,126,57,53,43
661,C. CRIMES AGAINST WOMEN,Outraging modesty (Molestation) (sec.354 IPC),NA,1442,547,441,540
662,C. CRIMES AGAINST WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),NA,32,14,14,11
663,C. CRIMES AGAINST WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,27,6,7,13
664,C. CRIMES AGAINST WOMEN,Murder for Dowry - by burning (Sec.302 IPC),NA,0,0,0,0
665,C. CRIMES AGAINST WOMEN,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,3,2,1,1
666,C. CRIMES AGAINST WOMEN,Murder for other reasons,NA,101,40,34,38
667,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,0,0,0,0
668,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,15,4,8,5
669,C. CRIMES AGAINST WOMEN,Attempt to Commit murder for other reasons,NA,206,73,62,79
670,C. CRIMES AGAINST WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)",NA,1,0,0,1
671,C. CRIMES AGAINST WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),NA,31,10,9,16
672,C. CRIMES AGAINST WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,655,278,215,236
673,C. CRIMES AGAINST WOMEN,Abetment of Suicide (Sec.306 IPC),NA,39,11,15,14
674,C. CRIMES AGAINST WOMEN,Immoral Traffic (prevention) Act.,NA,50,28,20,12
675,C. CRIMES AGAINST WOMEN,Indecent Representation of Women(Prohibition) Act-1986,NA,0,0,0,0
676,C. CRIMES AGAINST WOMEN,Pornography,NA,2,0,0,0
677,C. CRIMES AGAINST WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,25,11,7,14
678,C. CRIMES AGAINST WOMEN,Offences related to Marriage,NA,11,2,5,0
679,C. CRIMES AGAINST WOMEN,Cyber Crimes,NA,1528,258,487,610
680,D.CRIME AGAINST CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",NA,0,0,0,0
681,D.CRIME AGAINST CHILDREN,Rape on Minor,NA,0,0,0,0
682,D.CRIME AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),NA,22,5,6,8
683,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,NA,807,270,240,313
684,D.CRIME AGAINST CHILDREN,For Ransom - of Children,NA,1,0,0,0
685,D.CRIME AGAINST CHILDREN,of Children - for begging,NA,0,0,0,0
686,D.CRIME AGAINST CHILDREN,of Girls - Immoral Purpose,NA,0,0,0,0
687,D.CRIME AGAINST CHILDREN,With intent to Steal from Child,NA,0,0,0,0
688,D.CRIME AGAINST CHILDREN,Lawful Guardianship,NA,1,0,1,0
689,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Prostitution,NA,0,0,0,0
690,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - Importing of Girl,NA,0,0,0,0
691,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Other Purposes,NA,3,1,2,0
692,D.CRIME AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),NA,0,0,0,0
693,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,37,17,14,11
694,D.CRIME AGAINST CHILDREN,POCSO Act,NA,687,277,210,235
695,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,NA,2,1,2,0
696,D.CRIME AGAINST CHILDREN,Juvenile Justice Act,NA,5,5,2,2
697,D.CRIME AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,5,8,4,0
698,D.CRIME AGAINST CHILDREN,Probation of Offenders Act,NA,1,0,0,0
699,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Murder,NA,15,10,7,7
700,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Rape,NA,46,31,15,15
701,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Kidnapping,NA,20,10,2,5
702,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the Protection of Civil Rights Act.,NA,3,0,1,2
703,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),NA,375,169,122,128
