Sl. No.,A - IPC Crime,MAJOR HEADS,MINOR HEADS,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,
459,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Minor - Girl,0,0,0,0,
460,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),Attempt to Commit,11,1,0,2,
461,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To Extort Confession,0,0,0,0,
462,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To Extort Property,13,1,3,0,
463,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To settle Dispute,13,2,2,4,
464,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),Others,206,25,30,22,
465,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC)",Male,0,0,0,0,
466,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC)",Female,0,0,0,0,
467,A - IPC Crime,OFFENCES RELATED TO MARRIAGE (Sec.493 to 498 IPC),NA,20,3,2,1,
468,A - IPC Crime,"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC)",NA,0,0,0,0,
469,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Documents  ,0,0,0,0,
470,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Property  ,2,0,0,1,
472,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),DEFAMATION (Sec.500 to 502 IPC),NA,NA,NA,NA,NA
473,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Persons ,2,0,0,0,
474,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Printed Matter,1,0,0,0,
475,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Others,2,0,0,0,
477,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),ELECTION(Sec.171(E) to 171(1) IPC),NA,NA,NA,NA,NA
478,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Assembly,1,0,1,0,
479,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Parliament,0,0,0,0,
480,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Other Elected Bodies,10,0,9,0,
481,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Man,0,0,0,0,
482,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Woman,6,2,1,1,
483,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Boy,0,0,0,0,
484,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Girl,1,0,0,0,
485,A - IPC Crime,Attempting to commit offences (Sec.511 IPC),Attempting to commit offences,134,23,21,17,
486,A - IPC Crime,ILLEGAL DETENTION (Sec.342 IPC),NA,1,0,0,0,
487,A - IPC Crime,FALSE EVIDENCE (Sec.191 to 205 IPC),NA,17,0,5,4,
488,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),Boy ,18,2,1,3,
489,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),Girl,22,3,7,0,
490,A - IPC Crime,OF ABETMENT (Sec.107 to 120 IPC),NA,5,0,1,0,
491,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",174 A,21,1,7,1,
492,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",229 A,178,5,49,18,
493,A - IPC Crime,Concealment of birth by secret disposal of Child,Girl,13,0,2,1,
494,A - IPC Crime,Concealment of birth by secret disposal of Child,Boy,21,3,2,4,
495,A - IPC Crime,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,NA,7,0,1,1,
496,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Others,23,7,0,1,
497,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Private Institution,2,0,0,0,
498,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Govt. Institution,24,1,1,4,
499,A - IPC Crime,Human Trafficking,Eunuch,0,0,0,0,
500,A - IPC Crime,Human Trafficking,Men,0,0,0,0,
501,A - IPC Crime,Human Trafficking,Boy,5,4,1,0,
502,A - IPC Crime,Human Trafficking,Women,4,1,1,0,
503,A - IPC Crime,Human Trafficking,Girl,2,0,0,1,
505,A - IPC Crime,Human Trafficking,Aadhaar Act,NA,NA,NA,NA,
506,A - IPC Crime,Human Trafficking,Impersonation,0,0,0,0,
507,A - IPC Crime,Human Trafficking,Offence by Company,0,0,0,0,
508,A - IPC Crime,Human Trafficking,Offence by individual,0,0,0,0,
509,A - IPC Crime,Giving false information respecting an offence com,Giving false information respecting an offence committed,4,0,1,1,
511,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Antiques & Art Treasures Act 1972,1,0,0,0,
512,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Ancient Monument & Archaelogical Sites And Remains Act 1958,3,0,0,1,
513,B - SPECIAL & LOCAL LAWS,ARMS ACT 1959,Country Made - Non Prohibited Bore - In Disturbed Area,5,3,2,0,
514,B - SPECIAL & LOCAL LAWS,ARMS ACT 1960,Country Made - Non Prohibited Bore - In Other Area,55,33,11,16,
515,B - SPECIAL & LOCAL LAWS,ARMS ACT 1961,Country Made - Prohibited Bore - In Disturbed Area,8,1,3,0,
516,B - SPECIAL & LOCAL LAWS,ARMS ACT 1962,Country Made - Prohibited Bore - In Other Area,45,18,3,7,
517,B - SPECIAL & LOCAL LAWS,ARMS ACT 1963,Factory Made - Non Prohibited Bore - In Disturbed Area,0,0,0,0,
518,B - SPECIAL & LOCAL LAWS,ARMS ACT 1964,Factory Made - Non Prohibited Bore - In Other Area,21,8,5,4,
519,B - SPECIAL & LOCAL LAWS,ARMS ACT 1965,Factory Made - Prohibited Bore - In Disturbed Area,4,0,0,1,
520,B - SPECIAL & LOCAL LAWS,ARMS ACT 1966,Factory Made - Prohibited Bore - In Other Area,12,10,3,2,
521,B - SPECIAL & LOCAL LAWS,ANIMAL,The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,169,3,44,54,
522,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Preservation Act 1972,1,1,0,0,
523,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Protection Act 1972,0,0,0,0,
524,B - SPECIAL & LOCAL LAWS,ANIMAL,Prevention of Cruelty to Animals Act 1960,110,47,9,16,
525,B - SPECIAL & LOCAL LAWS,ANIMAL,Elephant (Preservation) Act 1879,0,0,0,0,
526,B - SPECIAL & LOCAL LAWS,ANIMAL,Cattle Tresspass Act 1871,5,7,1,0,
527,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1952,Films,0,0,0,0,
528,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1953,Video,0,0,0,0,
529,B - SPECIAL & LOCAL LAWS,CONSUMER,Liquified Petroleum Gas Supply & Control Order 2000 ,32,1,2,9,
530,B - SPECIAL & LOCAL LAWS,CONSUMER,Consumer (Protection) Act 1986,7,0,1,3,
531,B - SPECIAL & LOCAL LAWS,CONSUMER,Essential Commodities Act 1955,467,45,73,99,
532,B - SPECIAL & LOCAL LAWS,CONSUMER,Prevention of Food Adulternation Act 1954,11,1,2,2,
533,B - SPECIAL & LOCAL LAWS,CONSUMER,Packaged Commodities (Regulation) order 1975,3,0,0,2,
534,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1957,By Company,77,9,12,18,
535,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1958,By Individual,46,5,9,5,
536,B - SPECIAL & LOCAL LAWS,CIVIL RIGHTS,Protection of Civil Rights Act 1955,2,1,0,1,
537,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste  ,800,70,122,71,
538,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes,177,16,22,18,
539,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste Women,290,29,48,31,
540,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,80,9,14,7,
541,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act1986,51,4,7,5,
542,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,The Prohibition of Child Marriage Act - 2006,133,28,17,16,
543,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Juvenile Justice Act 1986,41,6,10,5,
544,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Probation of offenders Act 1958,3,1,0,1,
545,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Protection of Children from Sexual Offences Act 2012 (POCSO),0,0,0,0,
546,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Elected,0,0,0,0,
547,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1989,Public Servant - Gazetted - Central,0,0,0,0,
548,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1990,Public Servant - Gazetted - Defence,0,0,0,0,
549,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1991,Public Servant - Gazetted - Public Sector Undertaking,0,0,0,0,
550,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1992,Public Servant - Gazetted - State,0,0,0,0,
551,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1993,Public Servant - Non-Gazetted - Central,0,0,0,0,
552,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1994,Public Servant - Non-Gazetted - Defence,0,0,0,0,
553,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1995,Public Servant - Non-Gazetted - State,0,0,0,0,
554,B - SPECIAL & LOCAL LAWS,CUSTOMS,Customs Act 1962,0,0,0,0,
555,B - SPECIAL & LOCAL LAWS,CUSTOMS,Import/Export (Control) Act 1947,0,0,0,0,
556,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Substances Act 1908,15,6,6,0,
557,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Act 1884,13,8,3,3,
558,B - SPECIAL & LOCAL LAWS,Explosives,Inflammable Substance Act 1952,1,0,0,0,
559,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Smugglers and Foreign Exchange Manipulator Act 1976,0,0,0,0,
560,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1973,0,0,0,0,
561,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1952,0,0,0,0,
563,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,FOREIGNER,NA,NA,NA,NA,NA
564,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreigners Act 1946,35,14,2,10,
565,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Registration of Foreigners Act 1939,0,0,0,0,
566,B - SPECIAL & LOCAL LAWS,FOREST,Indian Forest Act 1927,5,0,0,1,
567,B - SPECIAL & LOCAL LAWS,FOREST,Forest (Conservation) Act 1980,7,2,0,3,
568,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - In India,0,0,0,0,
569,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - Outside India,0,0,0,0,
570,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - In India,0,0,0,0,
571,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - Outside India,0,0,0,0,
572,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Organised,93,6,8,16,
573,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Un-Organised,64,7,6,6,
574,B - SPECIAL & LOCAL LAWS,BONDED LABOUR SYSTEM,NA,7,0,1,1,
575,B - SPECIAL & LOCAL LAWS,INDIAN MOTOR VEHICLE,NA,5,0,0,0,
576,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Cultivated/Processed,2016,399,338,325,
577,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Synthetic,1505,362,321,228,
579,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,PASSPORT ACT,NA,NA,NA,NA,NA
580,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Foreigner,1,0,0,0,
581,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Indian,13,1,0,3,
582,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Assembly,0,0,0,0,
583,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,Parliament,0,0,0,0,
584,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,Other Elected Bodies,6,0,3,0,
585,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),3563,718,545,603,
586,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1964,Street Gambling (87),3749,662,461,619,
587,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1965,House Gambling (79 & 80),122,27,18,28,
588,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1966,Betting ,568,11,12,10,
589,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1967,Others ,240,35,28,27,
590,B - SPECIAL & LOCAL LAWS,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,NA,114,6,11,13,
591,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",NA,2,1,0,0,
592,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Official Secrets Act 1923,0,0,0,0,
593,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Essential Services Maintenance Act 1981,0,0,0,0,
594,B - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),RAILWAYS ACT,NA,NA,NA,NA,NA
595,B - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),Indian Railways Act 1989,5,0,1,1,
596,B - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),Railway Property (Unlawful Possession) Act 1966,0,0,0,0,
597,B - SPECIAL & LOCAL LAWS,UNLAWFUL ACTIVITIES (Prevention) Act 1967,NA,1,0,0,1,
598,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Dowry Prohibition,1304,179,190,205,
599,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,0,0,0,0,
600,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,2,0,1,0,
601,B - SPECIAL & LOCAL LAWS,INDIAN LUNACY ACT,NA,0,0,0,0,
602,B - SPECIAL & LOCAL LAWS,INDIAN ELECTRICITY ACT,NA,10,1,1,2,
603,B - SPECIAL & LOCAL LAWS,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",NA,135,21,16,32,
604,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Epidemic Deseases Act 2020,61,15,0,0,
605,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Banning of Unregulated Deposit Schemes Act,3,0,2,0,
606,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",1,0,0,0,
607,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Cow Slaughters Act,261,170,52,58,
608,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Motor Spirit and High Speed Diesel (Regulation of upply, Distribution and Prevention of Malpractice",1,0,0,0,
609,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,167,5,38,33,
610,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Disaster Management Act 2005,33,16,0,0,
611,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act 1965,6188,610,804,725,
612,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act 1963,43,2,6,13,
613,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Education Act 1983 As Amended Upto Date,3,0,0,0,
614,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Restriction Unuse Act 1956,0,0,0,0,
615,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka University Act,0,0,0,0,
616,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Corruption Act,1,1,0,0,
617,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Medical Registration Act 1965,1,1,0,0,
618,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land & Revenue Acdt 1964 & 2007,27,6,3,3,
619,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Dealers License Order 1969,0,0,0,0,
620,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Society Registration Act,1,0,0,0,
621,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Minor Mineral Consistent Rule 1994,45,4,4,5,
622,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Bangalore Development Authority Act,0,0,0,0,
623,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Beggery Act 1975,1,0,0,0,
624,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act 1964,1,0,0,1,
625,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Irrigation Act 1963,3,0,0,0,
626,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Fire Force act 1964,6,1,3,0,
627,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Consumer Protection Act 1986,2,0,0,0,
628,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Lottery Act,34,0,3,8,
629,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0,0,0,0,
630,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,0,0,0,0,
631,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,1,1,0,0,
632,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,2,0,0,0,
633,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Betting Tax Act,0,0,0,0,
634,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Panchayat Raj Act,0,0,0,0,
635,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Open Place Disfigurement Act 1951,51,1,8,20,
636,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Right To Information Act 2000 & 2008,0,0,0,0,
637,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Urban Development Act 1987,0,0,0,0,
638,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Town & City Planning Act 1961,0,0,0,0,
639,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Race Betting Act,0,0,0,0,
640,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,1,0,0,0,
641,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Cooperative Society Act,0,0,0,0,
642,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainment Tax Act 1958,4,1,0,1,
643,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land Acquisition (Prohibition) Act 2007,0,0,0,0,
644,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Money Lender Act 1961,6,0,0,2,
645,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Stamp Act 1957,0,0,0,0,
646,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prisoners Act 1963 & 1974,20,0,3,13,
647,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Private Medical Institution Act 2007,2,0,0,0,
648,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,MMRD (Mines & Minerals Regulation Development ) Act 1957,91,11,10,7,
649,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Treasure Trove Act 1962,1,0,0,0,
650,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,19,1,5,2,
651,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0,0,0,0,
652,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Other Local Acts,79,24,6,16,
653,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Information Technology Act 2000, 2009",6801,835,964,1157,
654,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,NA,0,0,0,0,
655,B - SPECIAL & LOCAL LAWS,POCSO,Custodial Rape,1,0,0,0,
656,B - SPECIAL & LOCAL LAWS,POCSO,Gang Rape,8,2,1,0,
657,B - SPECIAL & LOCAL LAWS,POCSO,Rape with Murder,1,1,0,0,
658,B - SPECIAL & LOCAL LAWS,POCSO,Rape,1236,158,194,148,
659,B - SPECIAL & LOCAL LAWS,POCSO,Others ,515,74,74,72,
660,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.1  Custodial Rape,0,0,0,0,
661,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.2  Gang Rape,3,0,0,0,
662,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.3  other Cases of Rape,322,59,47,49,
663,C. CRIMES AGAINST WOMEN,Outraging modesty (Molestation) (sec.354 IPC),NA,3505,422,571,394,
664,C. CRIMES AGAINST WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),NA,109,8,19,11,
665,C. CRIMES AGAINST WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,40,5,5,6,
666,C. CRIMES AGAINST WOMEN,Murder for Dowry - by burning (Sec.302 IPC),NA,0,0,0,0,
667,C. CRIMES AGAINST WOMEN,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,10,0,2,1,
668,C. CRIMES AGAINST WOMEN,Murder for other reasons,NA,261,51,39,36,
669,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,1,0,0,0,
670,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,28,1,9,3,
671,C. CRIMES AGAINST WOMEN,Attempt to Commit murder for other reasons,NA,485,59,67,52,
672,C. CRIMES AGAINST WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)",NA,0,0,0,0,
673,C. CRIMES AGAINST WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),NA,92,10,18,15,
674,C. CRIMES AGAINST WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,1733,219,287,231,
675,C. CRIMES AGAINST WOMEN,Abetment of Suicide (Sec.306 IPC),NA,79,10,8,8,
676,C. CRIMES AGAINST WOMEN,Immoral Traffic (prevention) Act.,NA,157,13,14,22,
677,C. CRIMES AGAINST WOMEN,Indecent Representation of Women(Prohibition) Act-1986,NA,2,0,1,0,
678,C. CRIMES AGAINST WOMEN,Pornography,NA,2,1,0,0,
679,C. CRIMES AGAINST WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,62,9,11,7,
680,C. CRIMES AGAINST WOMEN,Offences related to Marriage,NA,16,2,2,1,
681,C. CRIMES AGAINST WOMEN,Cyber Crimes,NA,2081,241,322,407,
682,D.CRIME AGAINST CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",NA,0,0,0,0,
683,D.CRIME AGAINST CHILDREN,Rape on Minor,NA,0,0,0,0,
684,D.CRIME AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),NA,40,5,8,3,
685,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,NA,1825,182,291,241,
686,D.CRIME AGAINST CHILDREN,For Ransom - of Children,NA,5,1,2,0,
687,D.CRIME AGAINST CHILDREN,of Children - for begging,NA,0,0,0,0,
688,D.CRIME AGAINST CHILDREN,of Girls - Immoral Purpose,NA,0,0,0,0,
689,D.CRIME AGAINST CHILDREN,With intent to Steal from Child,NA,0,0,0,0,
690,D.CRIME AGAINST CHILDREN,Lawful Guardianship,NA,0,0,0,0,
691,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Prostitution,NA,1,0,1,0,
692,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - Importing of Girl,NA,1,0,0,0,
693,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Other Purposes,NA,10,0,1,4,
694,D.CRIME AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),NA,0,0,0,0,
695,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,127,27,15,16,
696,D.CRIME AGAINST CHILDREN,POCSO Act,NA,1761,235,269,220,
697,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,NA,8,0,0,1,
698,D.CRIME AGAINST CHILDREN,Juvenile Justice Act,NA,41,6,10,5,
699,D.CRIME AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,51,4,7,5,
700,D.CRIME AGAINST CHILDREN,Probation of Offenders Act,NA,3,1,0,1,
701,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Murder,NA,57,17,5,10,
