SL NO,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
466,A - IPC Crime,"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC)",NA,0,0,0,0
467,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Documents  ,0,0,0,0
468,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Property  ,2,0,0,0
469,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Persons ,4,0,1,0
470,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Printed Matter,1,0,0,0
471,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Others,4,0,0,1
472,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Assembly,3,0,0,0
473,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Parliament,0,0,0,0
474,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Other Elected Bodies,13,0,3,0
475,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Man,0,0,0,0
476,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Woman,6,0,0,0
477,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Boy,0,0,0,0
478,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Girl,1,0,0,0
479,A - IPC Crime,Attempting to commit offences (Sec.511 IPC),Attempting to commit offences,224,16,26,18
480,A - IPC Crime,ILLEGAL DETENTION (Sec.342 IPC),NA,1,0,0,0
481,A - IPC Crime,FALSE EVIDENCE (Sec.191 to 205 IPC),NA,21,0,1,1
482,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),Boy ,34,1,4,8
483,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),Girl,36,4,5,3
484,A - IPC Crime,OF ABETMENT (Sec.107 to 120 IPC),NA,6,0,0,0
485,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",174 A,37,0,1,4
486,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",229 A,252,19,12,17
487,A - IPC Crime,Concealment of birth by secret disposal of Child,Girl,22,2,4,3
488,A - IPC Crime,Concealment of birth by secret disposal of Child,Boy,28,3,2,4
489,A - IPC Crime,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,NA,12,2,0,2
490,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Others,40,1,2,0
491,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Private Institution,3,0,0,0
492,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Govt. Institution,32,0,4,1
493,A - IPC Crime,Human Trafficking,Eunuch,0,0,0,0
494,A - IPC Crime,Human Trafficking,Men,0,0,0,0
495,A - IPC Crime,Human Trafficking,Boy,6,0,0,1
496,A - IPC Crime,Human Trafficking,Women,5,0,0,0
497,A - IPC Crime,Human Trafficking,Girl,2,1,0,0
498,A - IPC Crime,Aadhaar Act,Impersonation,0,0,0,0
499,A - IPC Crime,Aadhaar Act,Offence by Company,0,0,0,0
500,A - IPC Crime,Aadhaar Act,Offence by individual,0,0,0,0
501,A - IPC Crime,Giving false information respecting an offence com,Giving false information respecting an offence committed,5,1,0,0
502, - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Antiques & Art Treasures Act 1972,1,0,0,0
503, - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Ancient Monument & Archaelogical Sites And Remains Act 1958,5,0,1,0
504, - SPECIAL & LOCAL LAWS,ARMS ACT 1959,Country Made - Non Prohibited Bore - In Disturbed Area,11,2,0,3
505, - SPECIAL & LOCAL LAWS,ARMS ACT 1960,Country Made - Non Prohibited Bore - In Other Area,92,10,9,10
506, - SPECIAL & LOCAL LAWS,ARMS ACT 1961,Country Made - Prohibited Bore - In Disturbed Area,13,1,3,1
507, - SPECIAL & LOCAL LAWS,ARMS ACT 1962,Country Made - Prohibited Bore - In Other Area,69,3,4,4
508, - SPECIAL & LOCAL LAWS,ARMS ACT 1963,Factory Made - Non Prohibited Bore - In Disturbed Area,0,0,0,0
509, - SPECIAL & LOCAL LAWS,ARMS ACT 1964,Factory Made - Non Prohibited Bore - In Other Area,38,2,3,4
510, - SPECIAL & LOCAL LAWS,ARMS ACT 1965,Factory Made - Prohibited Bore - In Disturbed Area,5,0,0,0
511, - SPECIAL & LOCAL LAWS,ARMS ACT 1966,Factory Made - Prohibited Bore - In Other Area,22,1,1,3
512, - SPECIAL & LOCAL LAWS,ANIMAL,The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,246,1,28,15
513, - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Preservation Act 1972,1,0,0,0
514, - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Protection Act 1972,1,1,0,0
515, - SPECIAL & LOCAL LAWS,ANIMAL,Prevention of Cruelty to Animals Act 1960,180,12,21,16
516, - SPECIAL & LOCAL LAWS,ANIMAL,Elephant (Preservation) Act 1879,0,0,0,0
517, - SPECIAL & LOCAL LAWS,ANIMAL,Cattle Tresspass Act 1871,5,2,0,0
518, - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1952,Films,1,0,0,0
519, - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1953,Video,0,0,0,0
520, - SPECIAL & LOCAL LAWS,CONSUMER,Liquified Petroleum Gas Supply & Control Order 2000 ,56,2,3,4
521, - SPECIAL & LOCAL LAWS,CONSUMER,Consumer (Protection) Act 1986,8,1,1,0
522, - SPECIAL & LOCAL LAWS,CONSUMER,Essential Commodities Act 1955,742,38,48,75
523, - SPECIAL & LOCAL LAWS,CONSUMER,Prevention of Food Adulternation Act 1954,12,1,0,0
524, - SPECIAL & LOCAL LAWS,CONSUMER,Packaged Commodities (Regulation) order 1975,2,0,0,0
525, - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1957,By Company,133,11,9,21
526, - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1958,By Individual,68,10,2,7
527, - SPECIAL & LOCAL LAWS,CIVIL RIGHTS,Protection of Civil Rights Act 1955,4,0,0,0
528, - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste  ,1215,91,102,110
529, - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes,249,15,18,23
530, - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste Women,416,17,32,32
531, - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,112,6,10,5
532, - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act1986,58,7,1,1
533, - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Marriage (Restraint) Act - 1929,200,23,14,14
534, - SPECIAL & LOCAL LAWS,CHILDREN ACT,Juvenile Justice Act 1986,74,9,8,2
535, - SPECIAL & LOCAL LAWS,CHILDREN ACT,Probation of offenders Act 1958,3,1,0,0
536, - SPECIAL & LOCAL LAWS,CHILDREN ACT,Protection of Children from Sexual Offences Act 2012 (POCSO),0,0,0,0
537, - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Elected,0,0,0,0
538, - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1989,Public Servant - Gazetted - Central,0,0,0,0
539, - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1990,Public Servant - Gazetted - Defence,0,0,0,0
540, - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1991,Public Servant - Gazetted - Public Sector Undertaking,0,0,0,0
541, - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1992,Public Servant - Gazetted - State,0,0,0,0
542, - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1993,Public Servant - Non-Gazetted - Central,0,0,0,0
543, - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1994,Public Servant - Non-Gazetted - Defence,0,0,0,0
544, - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1995,Public Servant - Non-Gazetted - State,0,0,0,0
545, - SPECIAL & LOCAL LAWS,CUSTOMS,Customs Act 1962,0,0,0,0
546, - SPECIAL & LOCAL LAWS,CUSTOMS,Import/Export (Control) Act 1947,0,0,0,0
547, - SPECIAL & LOCAL LAWS,Explosives,Explosives Substances Act 1908,27,3,7,2
548, - SPECIAL & LOCAL LAWS,Explosives,Explosives Act 1884,26,3,2,4
549, - SPECIAL & LOCAL LAWS,Explosives,Inflammable Substance Act 1952,1,0,0,0
550, - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Smugglers and Foreign Exchange Manipulator Act 1976,0,0,0,0
551, - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1973,0,0,0,0
552, - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1952,0,0,0,0
553, - SPECIAL & LOCAL LAWS,FOREIGNER,Foreigners Act 1946,43,2,0,4
554, - SPECIAL & LOCAL LAWS,FOREIGNER,Registration of Foreigners Act 1939,0,0,0,0
555, - SPECIAL & LOCAL LAWS,FOREST,Indian Forest Act 1927,5,2,0,0
556, - SPECIAL & LOCAL LAWS,FOREST,Forest (Conservation) Act 1980,12,1,0,0
557, - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - In India,0,0,0,0
558, - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - Outside India,0,0,0,0
559, - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - In India,0,0,0,0
560, - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - Outside India,0,0,0,0
561, - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Organised,134,18,9,10
562, - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Un-Organised,92,9,9,7
563, - SPECIAL & LOCAL LAWS,BONDED LABOUR SYSTEM,NA,8,0,0,0
564, - SPECIAL & LOCAL LAWS,INDIAN MOTOR VEHICLE,NA,8,1,0,0
565, - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Cultivated/Processed,3002,238,212,182
566, - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Synthetic,2624,162,208,203
567, - SPECIAL & LOCAL LAWS,PASSPORT ACT,Foreigner,5,1,0,4
568, - SPECIAL & LOCAL LAWS,PASSPORT ACT,Indian,16,1,1,1
569, - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Assembly,0,0,0,0
570, - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,Parliament,0,0,0,0
571, - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,Other Elected Bodies,6,3,0,0
572, - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),5298,304,286,436
573, - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1964,Street Gambling (87),5946,784,900,347
574, - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1965,House Gambling (79 & 80),225,18,26,26
575, - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1966,Betting ,713,30,65,43
576, - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1967,Others ,394,23,39,27
577, - SPECIAL & LOCAL LAWS,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,NA,147,9,6,9
578, - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",NA,4,0,1,0
579, - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Official Secrets Act 1923,0,0,0,0
580, - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Essential Services Maintenance Act 1981,0,0,0,0
581, - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),NA,0,0,0,0
582, - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Indian Railways Act 1989,7,0,0,1
583, - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
584, - SPECIAL & LOCAL LAWS,UNLAWFUL ACTIVITIES (Prevention) Act 1967,NA,4,0,1,1
585, - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Dowry Prohibition,1962,158,146,162
586, - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,0,0,0,0
587, - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,3,0,1,0
588, - SPECIAL & LOCAL LAWS,INDIAN LUNACY ACT,NA,0,0,0,0
589, - SPECIAL & LOCAL LAWS,INDIAN ELECTRICITY ACT,NA,17,0,3,2
590, - SPECIAL & LOCAL LAWS,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",NA,225,36,18,38
591, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Epidemic Deseases Act 2020,63,0,0,1
592, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Banning of Unregulated Deposit Schemes Act,7,1,2,1
593, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",2,0,0,0
594, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Cow Slaughters Act,372,32,22,19
595, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Motor Spirit and High Speed Diesel (Regulation of upply, Distribution and Prevention of Malpractice",1,0,0,0
596, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,229,7,9,22
597, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Disaster Management Act 2005,33,1,0,0
598, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act 1965,8401,615,431,433
599, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act 1963,70,7,4,4
600, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Education Act 1983 As Amended Upto Date,4,0,0,0
601, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Restriction Unuse Act 1956,1,0,0,0
602, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka University Act,0,0,0,0
603, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Corruption Act,1,0,0,0
604, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Medical Registration Act 1965,1,1,0,0
605, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land & Revenue Acdt 1964 & 2007,40,2,2,3
606, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Dealers License Order 1969,0,0,0,0
607, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Society Registration Act,1,0,0,0
608, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Minor Mineral Consistent Rule 1994,60,2,5,2
609, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Bangalore Development Authority Act,0,0,0,0
610, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Beggery Act 1975,1,0,0,0
611, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act 1964,1,0,0,0
612, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Irrigation Act 1963,3,0,0,0
613, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Fire Force act 1964,8,0,1,0
614, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Consumer Protection Act 1986,2,0,0,0
615, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Lottery Act,56,3,2,7
616, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0,0,0,0
617, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,0,0,0,0
618, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,1,0,0,0
619, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,2,0,0,0
620, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Betting Tax Act,0,0,0,0
621, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Panchayat Raj Act,1,0,0,1
622, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Open Place Disfigurement Act 1951,87,1,1,10
623, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Right To Information Act 2000 & 2008,0,0,0,0
624, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Urban Development Act 1987,0,0,0,0
625, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Town & City Planning Act 1961,0,0,0,0
626, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Race Betting Act,0,0,0,0
627, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,1,0,0,0
628, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Cooperative Society Act,0,0,0,0
629, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainment Tax Act 1958,4,0,1,0
630, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land Acquisition (Prohibition) Act 2007,0,0,0,0
631, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Money Lender Act 1961,9,3,0,1
632, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Stamp Act 1957,0,0,0,0
633, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prisoners Act 1963 & 1974,35,0,4,4
634, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Private Medical Institution Act 2007,2,0,0,0
635, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,MMRD (Mines & Minerals Regulation Development ) Act 1957,111,9,7,5
636, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Treasure Trove Act 1962,3,0,1,0
637, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,24,1,3,1
638, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0,0,0,0
639, - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Other Local Acts,126,12,12,13
640, - SPECIAL & LOCAL LAWS,CYBER CRIME,NA,11317,755,1102,1233
641, - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,NA,0,0,0,0
642, - SPECIAL & LOCAL LAWS,POCSO,Custodial Rape,1,0,0,0
643, - SPECIAL & LOCAL LAWS,POCSO,Gang Rape,10,2,1,0
644, - SPECIAL & LOCAL LAWS,POCSO,Rape with Murder,2,0,1,0
645, - SPECIAL & LOCAL LAWS,POCSO,Rape,1924,186,140,170
646, - SPECIAL & LOCAL LAWS,POCSO,Others ,792,79,67,57
647,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.1  Custodial Rape,0,0,0,0
648,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.2  Gang Rape,12,0,1,0
649,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.3  other Cases of Rape,483,51,33,46
650,C. CRIMES AGAINST WOMEN,Outraging modesty (Molestation) (sec.354 IPC),NA,5317,397,416,491
651,C. CRIMES AGAINST WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),NA,156,14,10,14
652,C. CRIMES AGAINST WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,63,7,8,4
653,C. CRIMES AGAINST WOMEN,Murder for Dowry - by burning (Sec.302 IPC),NA,0,1,0,0
654,C. CRIMES AGAINST WOMEN,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,14,1,2,0
655,C. CRIMES AGAINST WOMEN,Murder for other reasons,NA,396,23,36,31
656,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,1,0,0,0
657,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,48,8,2,5
658,C. CRIMES AGAINST WOMEN,Attempt to Commit murder for other reasons,NA,712,59,54,57
659,C. CRIMES AGAINST WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)",NA,0,0,0,0
660,C. CRIMES AGAINST WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),NA,148,10,12,20
661,C. CRIMES AGAINST WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,2630,234,220,253
662,C. CRIMES AGAINST WOMEN,Abetment of Suicide (Sec.306 IPC),NA,153,12,20,17
663,C. CRIMES AGAINST WOMEN,Immoral Traffic (prevention) Act.,NA,226,27,18,17
664,C. CRIMES AGAINST WOMEN,Indecent Representation of Women(Prohibition) Act-1986,NA,3,0,1,0
665,C. CRIMES AGAINST WOMEN,Pornography,NA,0,0,0,0
666,C. CRIMES AGAINST WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,95,9,10,7
667,C. CRIMES AGAINST WOMEN,Offences related to Marriage,NA,29,1,3,3
668,C. CRIMES AGAINST WOMEN,Cyber Crimes,NA,3653,219,366,459
669,D.CRIME AGAINST CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",NA,0,0,0,0
670,D.CRIME AGAINST CHILDREN,Rape on Minor,NA,0,0,0,0
671,D.CRIME AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),NA,70,5,9,11
672,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,NA,2812,247,274,332
673,D.CRIME AGAINST CHILDREN,For Ransom - of Children,NA,10,0,1,1
674,D.CRIME AGAINST CHILDREN,of Children - for begging,NA,0,0,0,0
675,D.CRIME AGAINST CHILDREN,of Girls - Immoral Purpose,NA,1,0,1,0
676,D.CRIME AGAINST CHILDREN,With intent to Steal from Child,NA,1,0,1,0
677,D.CRIME AGAINST CHILDREN,Lawful Guardianship,NA,1,0,0,0
678,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Prostitution,NA,0,0,0,0
679,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - Importing of Girl,NA,2,0,0,1
680,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Other Purposes,NA,12,1,1,1
681,D.CRIME AGAINST CHILDREN,Sub Total ,NA,2839,248,278,335
682,D.CRIME AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),NA,0,0,0,0
683,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,191,23,13,12
684,D.CRIME AGAINST CHILDREN,POCSO Act,NA,2729,267,209,227
685,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,NA,13,0,0,1
686,D.CRIME AGAINST CHILDREN,Juvenile Justice Act,NA,74,9,8,2
687,D.CRIME AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,58,7,1,1
688,D.CRIME AGAINST CHILDREN,Probation of Offenders Act,NA,3,1,0,0
689,D.CRIME AGAINST CHILDREN,Murder,NA,84,13,8,3
690,D.CRIME AGAINST CHILDREN,Rape,NA,202,23,18,14
691,D.CRIME AGAINST CHILDREN,Kidnapping,NA,24,0,1,4
692,D.CRIME AGAINST CHILDREN,Offences under the Protection of Civil Rights Act.,NA,5,0,1,0
693,D.CRIME AGAINST CHILDREN,Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),NA,1677,93,134,149
