District_Name,UnitName,FIR_YEAR,FIR_MONTH,FIR_Day,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,Place of Offence,Male,Female,Boy,Girl,VICTIM COUNT,Accused Count,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count
Mysuru City,Mysuru City Traffic PS,2022,11,11,Non Heinous,Pending Trial,Typed,FRAUD,Financial Scam,13.778656,76.20248,IPC Section 365,S.B.DEVAR (PSI),"Near Main Market / Junction, Mysuru City",1,1,0,0,2,3,0,0,0
Belagavi City,Belagavi City Town PS,2024,9,23,Non Heinous,Pending Trial,Online,RIOTS,Student Riots,13.66013,75.109047,IPC Section 423,K.V.RAMESH (PI),"Near Main Market / Junction, Belagavi City",1,2,0,0,3,3,0,3,0
Ballari,Ballari Town PS,2022,11,15,Heinous,Pending Trial,Typed,POCSO,Child Abuse,16.769965,75.5142,IPC Section 490,M.S.PATIL (PSI),"Near Main Market / Junction, Ballari",1,0,0,0,1,2,1,1,0
Mangaluru City,Mangaluru City Rural PS,2025,6,23,Non Heinous,Compounded,Oral,CYBER CRIME,Social Media Harassment,17.644724,75.452524,IPC Section 422,G.H.KUPPI (PSI),"Near Main Market / Junction, Mangaluru City",0,3,0,0,3,4,1,2,0
Uttara Kannada,Uttara Kannada Central PS,2023,3,1,Non Heinous,Convicted,Written,ASSAULT,Assault on Public Servant,14.372302,77.510299,IPC Section 400,S.B.DEVAR (PSI),"Near Main Market / Junction, Uttara Kannada",1,0,0,0,1,1,1,0,1
Dharwad,Dharwad Town PS,2022,8,17,Non Heinous,Pending Trial,Oral,NARCOTICS,Drug Peddling,12.146964,78.049818,IPC Section 372,R S BIRADAR (PI),"Near Main Market / Junction, Dharwad",2,0,0,0,2,1,1,1,0
Raichur,Raichur Traffic PS,2021,9,4,Non Heinous,BoundOver,Oral,ASSAULT,Assault on Women,16.496996,76.867951,IPC Section 384,S.B.DEVAR (PSI),"Near Main Market / Junction, Raichur",2,0,0,0,2,2,1,1,0
Hubballi Dharwad City,Hubballi Dharwad City Rural PS,2025,7,12,Non Heinous,Dis/Acq,Typed,RIOTS,Group Clash,16.374881,75.019466,IPC Section 416,S.B.DEVAR (PSI),"Near Main Market / Junction, Hubballi Dharwad City",1,0,0,0,1,1,0,0,0
Gadag,Gadag Town PS,2025,2,16,Non Heinous,UI,Typed,THEFT,Theft from House,15.013648,77.194198,IPC Section 499,R S BIRADAR (PI),"Near Main Market / Junction, Gadag",2,1,1,0,3,2,1,1,0
Hubballi Dharwad City,Hubballi Dharwad City Traffic PS,2023,2,27,Non Heinous,Compounded,Oral,NARCOTICS,NDPS Possession,11.995041,77.130707,IPC Section 441,A.K.NAIK (PI),"Near Main Market / Junction, Hubballi Dharwad City",1,0,0,0,1,3,2,0,0
Dakshina Kannada,Dakshina Kannada Traffic PS,2022,9,12,Heinous,Convicted,Online,MURDER,Murder due to Enmity,15.659363,76.943133,IPC Section 492,S.B.DEVAR (PSI),"Near Main Market / Junction, Dakshina Kannada",0,2,1,0,2,3,2,3,2
Bagalkot,Bagalkot Central PS,2024,9,10,Non Heinous,Dis/Acq,Typed,NARCOTICS,Drug Peddling,17.111564,77.983743,IPC Section 478,N.S.KUMAR (PSI),"Near Main Market / Junction, Bagalkot",0,2,0,0,2,2,1,1,0
Bengaluru Rural,Bengaluru Rural Rural PS,2022,6,20,Non Heinous,Convicted,Written,THEFT,Pickpocketing,17.542732,75.687983,IPC Section 432,N.S.KUMAR (PSI),"Near Main Market / Junction, Bengaluru Rural",0,3,0,0,3,3,3,0,3
Dakshina Kannada,Dakshina Kannada Town PS,2023,11,14,Non Heinous,Compounded,Online,CYBER CRIME,Social Media Harassment,16.985413,76.913511,IPC Section 455,K.V.RAMESH (PI),"Near Main Market / Junction, Dakshina Kannada",2,1,0,1,3,4,0,1,0
Mysuru City,Mysuru City Town PS,2023,11,17,Heinous,Pending Trial,Typed,MURDER,Murder for Gain,15.951938,76.835358,IPC Section 395,R S BIRADAR (PI),"Near Main Market / Junction, Mysuru City",1,1,0,0,2,2,1,2,0
Uttara Kannada,Uttara Kannada Town PS,2022,8,12,Non Heinous,Dis/Acq,Typed,THEFT,Theft from House,15.61652,78.194606,IPC Section 344,S.B.DEVAR (PSI),"Near Main Market / Junction, Uttara Kannada",0,1,0,0,1,4,0,2,0
Belagavi Dist,Belagavi Dist Rural PS,2023,2,17,Non Heinous,Convicted,Oral,FRAUD,Embezzlement,12.041814,76.367033,IPC Section 330,G.H.KUPPI (PSI),"Near Main Market / Junction, Belagavi Dist",1,0,0,0,1,1,0,0,1
Dharwad,Dharwad Central PS,2025,12,8,Non Heinous,Convicted,Written,THEFT,Chain Snatching,12.60617,76.641874,IPC Section 391,S.B.DEVAR (PSI),"Near Main Market / Junction, Dharwad",0,1,0,0,1,3,2,3,3
Mysuru City,Mysuru City Central PS,2024,6,18,Non Heinous,Traced,Online,FRAUD,Cheating,12.809826,75.309744,IPC Section 497,A.K.NAIK (PI),"Near Main Market / Junction, Mysuru City",0,2,0,0,2,2,1,1,0
Belagavi City,Belagavi City Cyber Crime PS,2021,11,5,Non Heinous,BoundOver,Oral,ASSAULT,Grievous Hurt,13.334623,76.91918,IPC Section 332,G.H.KUPPI (PSI),"Near Main Market / Junction, Belagavi City",1,0,0,0,1,1,0,1,0
Bengaluru Dist,Bengaluru Dist Cyber Crime PS,2022,9,14,Heinous,Pending Trial,Typed,KIDNAPPING,Kidnapping for Ransom,12.136857,77.795608,IPC Section 330,S.B.DEVAR (PSI),"Near Main Market / Junction, Bengaluru Dist",1,1,0,0,2,4,1,1,0
Bagalkot,Bagalkot Central PS,2023,5,17,Non Heinous,Convicted,Oral,NARCOTICS,NDPS Possession,18.02548,75.407907,IPC Section 399,R S BIRADAR (PI),"Near Main Market / Junction, Bagalkot",1,1,0,1,2,4,1,1,1
Raichur,Raichur Traffic PS,2023,7,25,Heinous,UI,Typed,MURDER,Attempt to Murder,14.480309,74.616307,IPC Section 409,A.K.NAIK (PI),"Near Main Market / Junction, Raichur",1,1,0,0,2,1,1,1,0
Chitradurga,Chitradurga Traffic PS,2022,6,14,Non Heinous,Pending Trial,Online,FRAUD,Financial Scam,12.539783,75.398647,IPC Section 377,G.H.KUPPI (PSI),"Near Main Market / Junction, Chitradurga",1,0,0,0,1,1,1,0,0
Coastal Security Police,Coastal Security Police Town PS,2024,9,27,Non Heinous,Convicted,Typed,THEFT,Motor Vehicle Theft,14.897678,75.532768,IPC Section 494,G.H.KUPPI (PSI),"Near Main Market / Junction, Coastal Security Police",1,2,0,0,3,1,1,1,1
Koppal,Koppal Town PS,2025,3,27,Non Heinous,Convicted,Written,RIOTS,Communal Riots,17.739283,74.265225,IPC Section 417,S.B.DEVAR (PSI),"Near Main Market / Junction, Koppal",0,2,0,0,2,2,1,1,2
Dharwad,Dharwad Central PS,2025,6,4,Non Heinous,UI,Oral,BURGLARY,Shop Burglary,15.813177,78.389293,IPC Section 491,A.K.NAIK (PI),"Near Main Market / Junction, Dharwad",1,0,0,0,1,4,3,3,0
Mysuru City,Mysuru City Rural PS,2025,4,28,Non Heinous,BoundOver,Oral,CYBER CRIME,Cyber Fraud,14.563411,74.909757,IPC Section 327,G.H.KUPPI (PSI),"Near Main Market / Junction, Mysuru City",0,2,1,0,2,1,0,0,0
Bengaluru Dist,Bengaluru Dist Town PS,2024,9,3,Non Heinous,Traced,Oral,CYBER CRIME,Phishing Scam,14.76936,78.167267,IPC Section 424,K.V.RAMESH (PI),"Near Main Market / Junction, Bengaluru Dist",1,0,0,0,1,2,1,0,0
Davanagere,Davanagere Rural PS,2023,12,5,Non Heinous,Transfered,Oral,CYBER CRIME,Phishing Scam,12.388593,77.736678,IPC Section 445,A.K.NAIK (PI),"Near Main Market / Junction, Davanagere",1,1,1,1,2,4,3,2,0
Kalaburagi City,Kalaburagi City Town PS,2024,2,16,Heinous,Convicted,Written,KIDNAPPING,Kidnapping for Ransom,16.194092,74.580598,IPC Section 468,M.S.PATIL (PSI),"Near Main Market / Junction, Kalaburagi City",3,0,0,0,3,4,3,2,1
Hassan,Hassan Town PS,2021,12,25,Non Heinous,Traced,Oral,NARCOTICS,Drug Peddling,14.494877,77.513438,IPC Section 435,G.H.KUPPI (PSI),"Near Main Market / Junction, Hassan",2,1,0,0,3,3,1,1,0
Udupi,Udupi Rural PS,2023,3,2,Non Heinous,Pending Trial,Written,ASSAULT,Grievous Hurt,12.988841,75.870646,IPC Section 420,N.S.KUMAR (PSI),"Near Main Market / Junction, Udupi",0,2,0,0,2,3,0,2,0
Uttara Kannada,Uttara Kannada Traffic PS,2024,12,20,Non Heinous,Dis/Acq,Typed,ASSAULT,Assault on Public Servant,13.834771,76.192926,IPC Section 371,K.V.RAMESH (PI),"Near Main Market / Junction, Uttara Kannada",0,1,1,0,1,2,1,0,0
Kodagu,Kodagu Town PS,2022,3,16,Heinous,Convicted,Typed,MURDER,Murder due to Enmity,13.437348,77.595952,IPC Section 318,R S BIRADAR (PI),"Near Main Market / Junction, Kodagu",1,0,0,0,1,1,0,0,1
Bengaluru Rural,Bengaluru Rural Traffic PS,2021,9,4,Non Heinous,Transfered,Online,BURGLARY,House Breaking by Night,14.44016,74.520518,IPC Section 497,R S BIRADAR (PI),"Near Main Market / Junction, Bengaluru Rural",1,0,0,1,1,1,1,1,0
Koppal,Koppal Central PS,2023,11,6,Non Heinous,Convicted,Typed,FRAUD,Embezzlement,12.107567,77.82115,IPC Section 323,A.K.NAIK (PI),"Near Main Market / Junction, Koppal",1,2,1,0,3,3,1,2,3
Bengaluru Urban,Bengaluru Urban Town PS,2023,12,7,Non Heinous,Convicted,Oral,CYBER CRIME,UPI Fraud,16.80416,76.469281,IPC Section 321,N.S.KUMAR (PSI),"Near Main Market / Junction, Bengaluru Urban",0,1,0,0,1,1,0,0,1
Gadag,Gadag Central PS,2023,9,20,Non Heinous,Pending Trial,Typed,ASSAULT,Assault on Public Servant,14.13165,78.177433,IPC Section 471,A.K.NAIK (PI),"Near Main Market / Junction, Gadag",0,3,0,0,3,3,1,1,0
Dharwad,Dharwad Town PS,2021,7,5,Non Heinous,Pending Trial,Typed,NARCOTICS,Drug Peddling,13.274622,74.906778,IPC Section 377,A.K.NAIK (PI),"Near Main Market / Junction, Dharwad",0,1,0,0,1,2,1,1,0
Mysuru City,Mysuru City Town PS,2024,5,21,Non Heinous,Traced,Typed,BURGLARY,Shop Burglary,12.814414,77.897447,IPC Section 439,N.S.KUMAR (PSI),"Near Main Market / Junction, Mysuru City",0,1,0,0,1,4,4,2,0
Bagalkot,Bagalkot Central PS,2023,10,15,Non Heinous,Convicted,Typed,THEFT,Theft from House,12.228223,75.386595,IPC Section 452,N.S.KUMAR (PSI),"Near Main Market / Junction, Bagalkot",2,1,0,0,3,1,1,1,1
Belagavi City,Belagavi City Central PS,2024,5,25,Non Heinous,Dis/Acq,Online,CYBER CRIME,UPI Fraud,14.390011,74.975194,IPC Section 362,K.V.RAMESH (PI),"Near Main Market / Junction, Belagavi City",1,0,0,0,1,2,2,1,0
Hassan,Hassan Traffic PS,2024,6,4,Non Heinous,Convicted,Oral,FRAUD,Financial Scam,14.540816,75.244701,IPC Section 373,S.B.DEVAR (PSI),"Near Main Market / Junction, Hassan",0,1,0,0,1,3,2,1,2
Bengaluru City,Bengaluru City Traffic PS,2023,2,20,Non Heinous,UI,Written,THEFT,Chain Snatching,14.002059,77.888099,IPC Section 304,G.H.KUPPI (PSI),"Near Main Market / Junction, Bengaluru City",2,1,0,1,3,4,2,2,0
Vijayanagara,Vijayanagara Cyber Crime PS,2022,4,9,Non Heinous,Convicted,Oral,BURGLARY,House Breaking by Day,14.743492,75.827348,IPC Section 388,R S BIRADAR (PI),"Near Main Market / Junction, Vijayanagara",0,1,0,0,1,4,1,0,3
Mysuru City,Mysuru City Cyber Crime PS,2021,6,3,Heinous,Pending Trial,Online,MURDER,Dowry Murder,14.017323,77.602003,IPC Section 332,R S BIRADAR (PI),"Near Main Market / Junction, Mysuru City",0,1,0,0,1,2,2,2,0
Belagavi City,Belagavi City Traffic PS,2024,1,19,Non Heinous,Traced,Oral,ASSAULT,Grievous Hurt,17.937674,75.417602,IPC Section 311,A.K.NAIK (PI),"Near Main Market / Junction, Belagavi City",1,0,0,0,1,3,2,2,0
Bengaluru City,Bengaluru City Central PS,2023,2,17,Non Heinous,Pending Trial,Typed,BURGLARY,Shop Burglary,16.020254,78.341699,IPC Section 461,G.H.KUPPI (PSI),"Near Main Market / Junction, Bengaluru City",0,2,0,0,2,1,1,0,0
Davanagere,Davanagere Rural PS,2023,3,10,Heinous,Pending Trial,Written,POCSO,POCSO Assault,16.44923,74.245498,IPC Section 398,S.B.DEVAR (PSI),"Near Main Market / Junction, Davanagere",1,2,0,0,3,1,1,1,0
Bengaluru Rural,Bengaluru Rural Cyber Crime PS,2025,9,1,Non Heinous,Traced,Typed,RIOTS,Group Clash,15.505728,74.343064,IPC Section 460,A.K.NAIK (PI),"Near Main Market / Junction, Bengaluru Rural",1,1,0,0,2,1,0,1,0
Vijayapur,Vijayapur Rural PS,2022,9,14,Non Heinous,Dis/Acq,Oral,RIOTS,Communal Riots,14.679113,74.21959,IPC Section 473,G.H.KUPPI (PSI),"Near Main Market / Junction, Vijayapur",2,1,1,0,3,2,0,2,0
Vijayanagara,Vijayanagara Central PS,2022,4,21,Non Heinous,Pending Trial,Typed,BURGLARY,House Breaking by Day,17.372944,75.010768,IPC Section 317,S.B.DEVAR (PSI),"Near Main Market / Junction, Vijayanagara",1,0,0,0,1,3,1,2,0
Bengaluru Urban,Bengaluru Urban Town PS,2025,10,21,Non Heinous,Compounded,Online,RIOTS,Group Clash,17.565867,76.390832,IPC Section 419,S.B.DEVAR (PSI),"Near Main Market / Junction, Bengaluru Urban",1,1,0,0,2,4,4,1,0
Belagavi City,Belagavi City Rural PS,2022,8,4,Heinous,Pending Trial,Online,MURDER,Dowry Murder,16.426946,77.767015,IPC Section 351,N.S.KUMAR (PSI),"Near Main Market / Junction, Belagavi City",3,0,0,0,3,1,0,1,0
Vijayanagara,Vijayanagara Town PS,2024,6,9,Non Heinous,Convicted,Written,CYBER CRIME,Social Media Harassment,12.953578,75.529795,IPC Section 480,S.B.DEVAR (PSI),"Near Main Market / Junction, Vijayanagara",1,2,1,1,3,3,0,1,2
Bengaluru Rural,Bengaluru Rural Rural PS,2022,3,27,Non Heinous,Convicted,Typed,RIOTS,Communal Riots,12.7974,76.520763,IPC Section 395,A.K.NAIK (PI),"Near Main Market / Junction, Bengaluru Rural",2,0,0,0,2,2,0,1,1
Chickballapura,Chickballapura Town PS,2023,6,11,Non Heinous,UI,Online,FRAUD,Financial Scam,11.944899,77.807957,IPC Section 465,S.B.DEVAR (PSI),"Near Main Market / Junction, Chickballapura",1,0,0,0,1,3,2,2,0
Vijayanagara,Vijayanagara Rural PS,2024,9,16,Heinous,Pending Trial,Typed,POCSO,Child Abuse,14.541224,76.947399,IPC Section 483,S.B.DEVAR (PSI),"Near Main Market / Junction, Vijayanagara",0,2,0,0,2,2,1,0,0
Hubballi Dharwad City,Hubballi Dharwad City Traffic PS,2025,2,27,Non Heinous,UI,Typed,CYBER CRIME,Phishing Scam,17.772149,76.225439,IPC Section 391,S.B.DEVAR (PSI),"Near Main Market / Junction, Hubballi Dharwad City",0,1,0,0,1,2,1,0,0
Tumakuru,Tumakuru Central PS,2023,11,7,Non Heinous,Dis/Acq,Written,RIOTS,Communal Riots,16.559653,74.705554,IPC Section 347,M.S.PATIL (PSI),"Near Main Market / Junction, Tumakuru",0,1,0,0,1,1,1,1,0
Uttara Kannada,Uttara Kannada Rural PS,2023,3,2,Non Heinous,Pending Trial,Online,CYBER CRIME,UPI Fraud,12.537865,77.996794,IPC Section 495,N.S.KUMAR (PSI),"Near Main Market / Junction, Uttara Kannada",3,0,0,0,3,4,1,3,0
Uttara Kannada,Uttara Kannada Central PS,2023,2,17,Non Heinous,Convicted,Online,THEFT,Motor Vehicle Theft,16.119799,76.394742,IPC Section 426,N.S.KUMAR (PSI),"Near Main Market / Junction, Uttara Kannada",0,1,0,0,1,3,1,3,1
Dakshina Kannada,Dakshina Kannada Traffic PS,2022,6,7,Heinous,Traced,Oral,KIDNAPPING,Abduction,17.159908,77.663739,IPC Section 333,N.S.KUMAR (PSI),"Near Main Market / Junction, Dakshina Kannada",0,1,0,0,1,2,2,0,0
Mangaluru City,Mangaluru City Rural PS,2021,8,21,Non Heinous,Dis/Acq,Typed,FRAUD,Financial Scam,14.011503,74.164094,IPC Section 393,G.H.KUPPI (PSI),"Near Main Market / Junction, Mangaluru City",2,1,0,0,3,3,1,3,0
Kolar,Kolar Rural PS,2021,5,18,Non Heinous,Pending Trial,Oral,THEFT,Pickpocketing,14.005344,75.597761,IPC Section 412,S.B.DEVAR (PSI),"Near Main Market / Junction, Kolar",1,2,0,0,3,2,2,1,0
Belagavi City,Belagavi City Cyber Crime PS,2023,11,10,Heinous,Traced,Online,POCSO,Child Abuse,16.699807,76.660279,IPC Section 499,M.S.PATIL (PSI),"Near Main Market / Junction, Belagavi City",2,0,0,0,2,1,0,0,0
Kalaburagi,Kalaburagi Central PS,2025,12,8,Non Heinous,Transfered,Online,ASSAULT,Assault on Public Servant,14.192709,77.74763,IPC Section 456,M.S.PATIL (PSI),"Near Main Market / Junction, Kalaburagi",2,1,0,1,3,2,1,2,0
Ballari,Ballari Central PS,2024,9,7,Heinous,Dis/Acq,Typed,MURDER,Dowry Murder,11.826127,76.560657,IPC Section 358,A.K.NAIK (PI),"Near Main Market / Junction, Ballari",0,1,0,0,1,3,1,1,0
Bengaluru City,Bengaluru City Traffic PS,2024,6,23,Non Heinous,Traced,Typed,FRAUD,Financial Scam,14.48352,77.063169,IPC Section 313,M.S.PATIL (PSI),"Near Main Market / Junction, Bengaluru City",1,0,0,0,1,4,4,1,0
Kolar,Kolar Town PS,2022,11,22,Non Heinous,Pending Trial,Oral,THEFT,Chain Snatching,15.930999,77.390724,IPC Section 469,N.S.KUMAR (PSI),"Near Main Market / Junction, Kolar",3,0,0,0,3,4,3,1,0
Mysuru City,Mysuru City Central PS,2025,8,5,Non Heinous,Traced,Written,BURGLARY,House Breaking by Day,11.858594,78.167104,IPC Section 407,N.S.KUMAR (PSI),"Near Main Market / Junction, Mysuru City",0,2,0,0,2,4,1,2,0
Ballari,Ballari Cyber Crime PS,2024,12,1,Heinous,UI,Oral,MURDER,Murder due to Enmity,13.287821,77.924517,IPC Section 408,A.K.NAIK (PI),"Near Main Market / Junction, Ballari",0,1,0,0,1,3,3,3,0
Davanagere,Davanagere Rural PS,2025,9,10,Non Heinous,Convicted,Oral,ASSAULT,Assault on Women,18.149798,76.257237,IPC Section 399,N.S.KUMAR (PSI),"Near Main Market / Junction, Davanagere",2,0,0,0,2,3,3,2,2
Bengaluru Rural,Bengaluru Rural Cyber Crime PS,2023,8,3,Non Heinous,Convicted,Written,THEFT,Chain Snatching,11.958783,74.783312,IPC Section 380,S.B.DEVAR (PSI),"Near Main Market / Junction, Bengaluru Rural",2,0,0,0,2,3,0,3,2
Mangaluru City,Mangaluru City Town PS,2022,2,24,Non Heinous,Convicted,Written,BURGLARY,Shop Burglary,15.777081,75.845491,IPC Section 346,M.S.PATIL (PSI),"Near Main Market / Junction, Mangaluru City",1,0,0,1,1,2,0,1,1
Bengaluru Rural,Bengaluru Rural Town PS,2021,9,21,Non Heinous,Compounded,Written,BURGLARY,House Breaking by Night,15.23128,77.415881,IPC Section 322,G.H.KUPPI (PSI),"Near Main Market / Junction, Bengaluru Rural",1,1,0,1,2,1,0,0,0
Mysuru Dist,Mysuru Dist Central PS,2025,9,6,Heinous,Pending Trial,Typed,KIDNAPPING,Kidnapping of Children,15.006555,74.216812,IPC Section 377,N.S.KUMAR (PSI),"Near Main Market / Junction, Mysuru Dist",3,0,0,0,3,4,4,2,0
Shivamogga,Shivamogga Rural PS,2022,11,3,Heinous,Transfered,Online,KIDNAPPING,Kidnapping for Ransom,13.468294,75.239524,IPC Section 436,N.S.KUMAR (PSI),"Near Main Market / Junction, Shivamogga",1,0,0,0,1,1,0,1,0
Ballari,Ballari Town PS,2021,5,9,Heinous,Convicted,Typed,POCSO,POCSO Assault,18.176556,77.579314,IPC Section 386,A.K.NAIK (PI),"Near Main Market / Junction, Ballari",1,1,0,0,2,4,3,2,3
Kodagu,Kodagu Traffic PS,2022,6,19,Non Heinous,Convicted,Online,NARCOTICS,Drug Peddling,11.8458,75.223669,IPC Section 381,N.S.KUMAR (PSI),"Near Main Market / Junction, Kodagu",1,0,0,1,1,4,1,0,2
Koppal,Koppal Town PS,2023,3,16,Heinous,Convicted,Typed,POCSO,Child Abuse,12.838366,77.065949,IPC Section 476,N.S.KUMAR (PSI),"Near Main Market / Junction, Koppal",1,0,0,0,1,3,0,2,1
Belagavi City,Belagavi City Rural PS,2023,8,20,Non Heinous,BoundOver,Oral,CYBER CRIME,UPI Fraud,16.911055,77.997347,IPC Section 313,K.V.RAMESH (PI),"Near Main Market / Junction, Belagavi City",1,1,0,0,2,3,2,3,0
Bengaluru Rural,Bengaluru Rural Central PS,2023,10,10,Non Heinous,Pending Trial,Oral,FRAUD,Cheating,15.6522,75.371121,IPC Section 450,G.H.KUPPI (PSI),"Near Main Market / Junction, Bengaluru Rural",1,0,0,0,1,2,2,0,0
Dakshina Kannada,Dakshina Kannada Rural PS,2023,11,6,Non Heinous,Traced,Written,FRAUD,Embezzlement,17.142204,74.81492,IPC Section 373,R S BIRADAR (PI),"Near Main Market / Junction, Dakshina Kannada",3,0,0,0,3,1,0,0,0
Mysuru City,Mysuru City Town PS,2021,11,26,Heinous,Convicted,Online,POCSO,POCSO Assault,11.928421,75.679284,IPC Section 307,M.S.PATIL (PSI),"Near Main Market / Junction, Mysuru City",0,3,0,0,3,4,0,1,2
Bengaluru Rural,Bengaluru Rural Central PS,2022,8,8,Non Heinous,UI,Written,NARCOTICS,Drug Peddling,17.939047,78.168507,IPC Section 462,K.V.RAMESH (PI),"Near Main Market / Junction, Bengaluru Rural",1,0,0,0,1,3,2,1,0
Dakshina Kannada,Dakshina Kannada Town PS,2023,3,20,Non Heinous,Compounded,Oral,NARCOTICS,Drug Peddling,14.331771,76.071865,IPC Section 474,A.K.NAIK (PI),"Near Main Market / Junction, Dakshina Kannada",0,1,1,0,1,2,0,2,0
Belagavi City,Belagavi City Town PS,2022,2,8,Non Heinous,Traced,Typed,CYBER CRIME,Cyber Fraud,12.510612,75.887028,IPC Section 355,R S BIRADAR (PI),"Near Main Market / Junction, Belagavi City",1,1,0,1,2,1,0,1,0
Shivamogga,Shivamogga Rural PS,2025,5,19,Non Heinous,Transfered,Oral,NARCOTICS,Drug Peddling,11.896564,76.741049,IPC Section 439,N.S.KUMAR (PSI),"Near Main Market / Junction, Shivamogga",0,1,0,0,1,1,0,1,0
Ballari,Ballari Rural PS,2025,12,21,Heinous,UI,Written,KIDNAPPING,Abduction,17.316872,75.960788,IPC Section 387,K.V.RAMESH (PI),"Near Main Market / Junction, Ballari",2,1,0,0,3,4,4,0,0
K.G.F,K.G.F Central PS,2023,4,17,Non Heinous,Traced,Typed,FRAUD,Embezzlement,16.010237,76.517069,IPC Section 459,M.S.PATIL (PSI),"Near Main Market / Junction, K.G.F",2,1,0,0,3,4,0,3,0
K.G.F,K.G.F Rural PS,2023,8,21,Non Heinous,UI,Written,THEFT,Bicycle Theft,13.953001,77.262797,IPC Section 403,M.S.PATIL (PSI),"Near Main Market / Junction, K.G.F",2,1,1,1,3,1,1,1,0
Uttara Kannada,Uttara Kannada Rural PS,2021,10,18,Non Heinous,Convicted,Oral,CYBER CRIME,Social Media Harassment,12.721362,77.307132,IPC Section 375,S.B.DEVAR (PSI),"Near Main Market / Junction, Uttara Kannada",2,0,0,0,2,2,1,2,2
Koppal,Koppal Traffic PS,2022,8,23,Non Heinous,Pending Trial,Oral,CYBER CRIME,Cyber Fraud,14.546348,75.822503,IPC Section 312,A.K.NAIK (PI),"Near Main Market / Junction, Koppal",3,0,0,0,3,1,0,1,0
Bengaluru Rural,Bengaluru Rural Town PS,2023,3,4,Heinous,Dis/Acq,Oral,KIDNAPPING,Kidnapping of Children,12.892156,77.879681,IPC Section 399,S.B.DEVAR (PSI),"Near Main Market / Junction, Bengaluru Rural",1,1,0,0,2,3,2,1,0
Belagavi Dist,Belagavi Dist Traffic PS,2021,10,19,Non Heinous,Convicted,Online,RIOTS,Political Riots,16.813032,77.983649,IPC Section 318,G.H.KUPPI (PSI),"Near Main Market / Junction, Belagavi Dist",2,1,0,0,3,4,1,3,3
Koppal,Koppal Central PS,2022,2,25,Non Heinous,Dis/Acq,Online,BURGLARY,House Breaking by Night,15.850049,78.38899,IPC Section 386,A.K.NAIK (PI),"Near Main Market / Junction, Koppal",0,1,0,0,1,2,0,1,0
Vijayanagara,Vijayanagara Central PS,2023,11,14,Heinous,Convicted,Typed,POCSO,POCSO Assault,15.310952,77.798574,IPC Section 349,S.B.DEVAR (PSI),"Near Main Market / Junction, Vijayanagara",1,0,0,0,1,4,2,4,3
Gadag,Gadag Traffic PS,2023,6,14,Non Heinous,Transfered,Written,CYBER CRIME,Social Media Harassment,12.077155,74.240895,IPC Section 318,A.K.NAIK (PI),"Near Main Market / Junction, Gadag",0,2,0,0,2,1,0,1,0
Mandya,Mandya Town PS,2021,11,16,Heinous,Transfered,Online,POCSO,POCSO Assault,16.337639,75.224284,IPC Section 458,S.B.DEVAR (PSI),"Near Main Market / Junction, Mandya",1,1,0,1,2,2,1,0,0
Bidar,Bidar Town PS,2023,9,8,Non Heinous,Pending Trial,Written,RIOTS,Communal Riots,12.540434,75.580419,IPC Section 376,G.H.KUPPI (PSI),"Near Main Market / Junction, Bidar",2,1,0,0,3,2,0,0,0
Kalaburagi City,Kalaburagi City Traffic PS,2025,10,27,Non Heinous,Traced,Oral,FRAUD,Financial Scam,16.095162,78.325915,IPC Section 356,S.B.DEVAR (PSI),"Near Main Market / Junction, Kalaburagi City",1,2,0,0,3,4,2,2,0
Vijayanagara,Vijayanagara Rural PS,2023,9,4,Non Heinous,UI,Written,FRAUD,Financial Scam,15.530355,78.274435,IPC Section 480,R S BIRADAR (PI),"Near Main Market / Junction, Vijayanagara",2,0,0,0,2,1,0,1,0
Hubballi Dharwad City,Hubballi Dharwad City Rural PS,2023,8,23,Heinous,BoundOver,Typed,MURDER,Murder for Gain,16.327679,76.42849,IPC Section 304,R S BIRADAR (PI),"Near Main Market / Junction, Hubballi Dharwad City",1,1,0,0,2,3,2,0,0
K.G.F,K.G.F Central PS,2022,11,17,Non Heinous,Convicted,Typed,RIOTS,Group Clash,12.827275,74.868151,IPC Section 491,K.V.RAMESH (PI),"Near Main Market / Junction, K.G.F",1,1,0,0,2,1,0,1,1
Bidar,Bidar Rural PS,2023,1,19,Non Heinous,Convicted,Oral,THEFT,Pickpocketing,14.323046,74.178164,IPC Section 389,A.K.NAIK (PI),"Near Main Market / Junction, Bidar",1,0,0,1,1,1,1,0,1
Bagalkot,Bagalkot Town PS,2025,10,1,Heinous,Dis/Acq,Online,MURDER,Murder for Gain,14.836629,76.518072,IPC Section 342,M.S.PATIL (PSI),"Near Main Market / Junction, Bagalkot",1,0,0,0,1,2,0,2,0
Ballari,Ballari Rural PS,2022,3,24,Non Heinous,Pending Trial,Online,BURGLARY,House Breaking by Night,18.001397,75.966697,IPC Section 499,N.S.KUMAR (PSI),"Near Main Market / Junction, Ballari",0,1,0,0,1,1,1,0,0
